,image1,image2,dist
0,01a_1.jpg,01b_1.jpg,96498
1,01a_1.jpg,01b_2.jpg,57510
2,01a_1.jpg,01b_3.jpg,67903
3,01a_1.jpg,01b_4.jpg,162235
4,01a_1.jpg,01b_5.jpg,9204
5,01a_1.jpg,01b_6.jpg,28205
6,01a_1.jpg,01b_7.jpg,11143
7,01a_1.jpg,01b_8.jpg,161491
8,01a_2.jpg,01b_1.jpg,71366
9,01a_2.jpg,01b_2.jpg,16352
10,01a_2.jpg,01b_3.jpg,105373
11,01a_2.jpg,01b_4.jpg,137071
12,01a_2.jpg,01b_5.jpg,33048
13,01a_2.jpg,01b_6.jpg,68043
14,01a_2.jpg,01b_7.jpg,33583
15,01a_2.jpg,01b_8.jpg,198785
16,01a_3.jpg,01b_1.jpg,53778
17,01a_3.jpg,01b_2.jpg,33940
18,01a_3.jpg,01b_3.jpg,87785
19,01a_3.jpg,01b_4.jpg,118517
20,01a_3.jpg,01b_5.jpg,83340
21,01a_3.jpg,01b_6.jpg,50455
22,01a_3.jpg,01b_7.jpg,70413
23,01a_3.jpg,01b_8.jpg,181197
24,01a_4.jpg,01b_1.jpg,111701
25,01a_4.jpg,01b_2.jpg,56719
26,01a_4.jpg,01b_3.jpg,83106
27,01a_4.jpg,01b_4.jpg,177438
28,01a_4.jpg,01b_5.jpg,8087
29,01a_4.jpg,01b_6.jpg,43408
30,01a_4.jpg,01b_7.jpg,20246
31,01a_4.jpg,01b_8.jpg,176694
32,01a_5.jpg,01b_1.jpg,86024
33,01a_5.jpg,01b_2.jpg,10270
34,01a_5.jpg,01b_3.jpg,120031
35,01a_5.jpg,01b_4.jpg,150763
36,01a_5.jpg,01b_5.jpg,59668
37,01a_5.jpg,01b_6.jpg,82701
38,01a_5.jpg,01b_7.jpg,47407
39,01a_5.jpg,01b_8.jpg,213443
40,01a_6.jpg,01b_1.jpg,99365
41,01a_6.jpg,01b_2.jpg,59481
42,01a_6.jpg,01b_3.jpg,70770
43,01a_6.jpg,01b_4.jpg,165102
44,01a_6.jpg,01b_5.jpg,11175
45,01a_6.jpg,01b_6.jpg,31072
46,01a_6.jpg,01b_7.jpg,13114
47,01a_6.jpg,01b_8.jpg,164358
48,02a_1.jpg,02b_1.jpg,31164
49,02a_1.jpg,02b_10.jpg,43074
50,02a_1.jpg,02b_2.jpg,88918
51,02a_1.jpg,02b_3.jpg,0
52,02a_1.jpg,02b_4.jpg,59384
53,02a_1.jpg,02b_5.jpg,58698
54,02a_1.jpg,02b_6.jpg,57768
55,02a_1.jpg,02b_7.jpg,34379
56,02a_1.jpg,02b_8.jpg,46756
57,02a_1.jpg,02b_9.jpg,80190
58,02a_2.jpg,02b_1.jpg,128785
59,02a_2.jpg,02b_10.jpg,112003
60,02a_2.jpg,02b_2.jpg,127899
61,02a_2.jpg,02b_3.jpg,97789
62,02a_2.jpg,02b_4.jpg,95665
63,02a_2.jpg,02b_5.jpg,79495
64,02a_2.jpg,02b_6.jpg,112345
65,02a_2.jpg,02b_7.jpg,105276
66,02a_2.jpg,02b_8.jpg,144405
67,02a_2.jpg,02b_9.jpg,81279
68,02a_3.jpg,02b_1.jpg,96123
69,02a_3.jpg,02b_10.jpg,79341
70,02a_3.jpg,02b_2.jpg,153877
