,image1,image2,dist
0,01a_1.jpg,01b_1.jpg,0.71875
1,01a_1.jpg,01b_2.jpg,0.75
2,01a_1.jpg,01b_3.jpg,0.578125
3,01a_1.jpg,01b_4.jpg,0.515625
4,01a_1.jpg,01b_5.jpg,0.796875
5,01a_1.jpg,01b_6.jpg,0.78125
6,01a_1.jpg,01b_7.jpg,0.53125
7,01a_1.jpg,01b_8.jpg,0.453125
8,01a_2.jpg,01b_1.jpg,0.59375
9,01a_2.jpg,01b_2.jpg,0.96875
10,01a_2.jpg,01b_3.jpg,0.453125
11,01a_2.jpg,01b_4.jpg,0.421875
12,01a_2.jpg,01b_5.jpg,0.796875
13,01a_2.jpg,01b_6.jpg,0.625
14,01a_2.jpg,01b_7.jpg,0.5
15,01a_2.jpg,01b_8.jpg,0.328125
16,01a_3.jpg,01b_1.jpg,0.71875
17,01a_3.jpg,01b_2.jpg,0.6875
18,01a_3.jpg,01b_3.jpg,0.765625
19,01a_3.jpg,01b_4.jpg,0.734375
20,01a_3.jpg,01b_5.jpg,0.609375
21,01a_3.jpg,01b_6.jpg,0.78125
22,01a_3.jpg,01b_7.jpg,0.65625
23,01a_3.jpg,01b_8.jpg,0.609375
24,01a_4.jpg,01b_1.jpg,0.53125
25,01a_4.jpg,01b_2.jpg,0.71875
26,01a_4.jpg,01b_3.jpg,0.515625
27,01a_4.jpg,01b_4.jpg,0.484375
28,01a_4.jpg,01b_5.jpg,0.828125
29,01a_4.jpg,01b_6.jpg,0.6875
30,01a_4.jpg,01b_7.jpg,0.625
31,01a_4.jpg,01b_8.jpg,0.453125
32,01a_5.jpg,01b_1.jpg,0.640625
33,01a_5.jpg,01b_2.jpg,0.671875
34,01a_5.jpg,01b_3.jpg,0.625
35,01a_5.jpg,01b_4.jpg,0.59375
36,01a_5.jpg,01b_5.jpg,0.6875
37,01a_5.jpg,01b_6.jpg,0.734375
38,01a_5.jpg,01b_7.jpg,0.609375
39,01a_5.jpg,01b_8.jpg,0.5625
40,01a_6.jpg,01b_1.jpg,0.5625
41,01a_6.jpg,01b_2.jpg,0.75
42,01a_6.jpg,01b_3.jpg,0.578125
43,01a_6.jpg,01b_4.jpg,0.546875
44,01a_6.jpg,01b_5.jpg,0.890625
45,01a_6.jpg,01b_6.jpg,0.78125
46,01a_6.jpg,01b_7.jpg,0.65625
47,01a_6.jpg,01b_8.jpg,0.515625
48,02a_1.jpg,02b_1.jpg,0.6875
49,02a_1.jpg,02b_10.jpg,0.546875
50,02a_1.jpg,02b_2.jpg,0.625
51,02a_1.jpg,02b_3.jpg,1.0
52,02a_1.jpg,02b_4.jpg,0.65625
53,02a_1.jpg,02b_5.jpg,0.6875
54,02a_1.jpg,02b_6.jpg,0.65625
55,02a_1.jpg,02b_7.jpg,0.6875
56,02a_1.jpg,02b_8.jpg,0.625
57,02a_1.jpg,02b_9.jpg,0.609375
58,02a_2.jpg,02b_1.jpg,0.421875
59,02a_2.jpg,02b_10.jpg,0.625
60,02a_2.jpg,02b_2.jpg,0.390625
61,02a_2.jpg,02b_3.jpg,0.484375
62,02a_2.jpg,02b_4.jpg,0.453125
63,02a_2.jpg,02b_5.jpg,0.421875
64,02a_2.jpg,02b_6.jpg,0.453125
65,02a_2.jpg,02b_7.jpg,0.453125
66,02a_2.jpg,02b_8.jpg,0.421875
67,02a_2.jpg,02b_9.jpg,0.65625
68,02a_3.jpg,02b_1.jpg,0.484375
69,02a_3.jpg,02b_10.jpg,0.65625
70,02a_3.jpg,02b_2.jpg,0.453125
71,02a_3.jpg,02b_3.jpg,0.515625
72,02a_3.jpg,02b_4.jpg,0.484375
73,02a_3.jpg,02b_5.jpg,0.484375
74,02a_3.jpg,02b_6.jpg,0.421875
75,02a_3.jpg,02b_7.jpg,0.453125
76,02a_3.jpg,02b_8.jpg,0.484375
77,02a_3.jpg,02b_9.jpg,0.625
78,02a_4.jpg,02b_1.jpg,0.875
79,02a_4.jpg,02b_10.jpg,0.578125
80,02a_4.jpg,02b_2.jpg,0.71875
81,02a_4.jpg,02b_3.jpg,0.6875
82,02a_4.jpg,02b_4.jpg,0.8125
83,02a_4.jpg,02b_5.jpg,0.75
84,02a_4.jpg,02b_6.jpg,0.78125
85,02a_4.jpg,02b_7.jpg,0.75
86,02a_4.jpg,02b_8.jpg,0.84375
87,02a_4.jpg,02b_9.jpg,0.421875
88,02a_5.jpg,02b_1.jpg,0.65625
89,02a_5.jpg,02b_10.jpg,0.453125
90,02a_5.jpg,02b_2.jpg,0.53125
91,02a_5.jpg,02b_3.jpg,0.5625
92,02a_5.jpg,02b_4.jpg,0.65625
93,02a_5.jpg,02b_5.jpg,0.5625
94,02a_5.jpg,02b_6.jpg,0.59375
95,02a_5.jpg,02b_7.jpg,0.625
96,02a_5.jpg,02b_8.jpg,0.59375
97,02a_5.jpg,02b_9.jpg,0.453125
98,02a_6.jpg,02b_1.jpg,0.78125
99,02a_6.jpg,02b_10.jpg,0.359375
100,02a_6.jpg,02b_2.jpg,0.5625
101,02a_6.jpg,02b_3.jpg,0.65625
102,02a_6.jpg,02b_4.jpg,0.75
103,02a_6.jpg,02b_5.jpg,0.75
104,02a_6.jpg,02b_6.jpg,0.71875
105,02a_6.jpg,02b_7.jpg,0.84375
106,02a_6.jpg,02b_8.jpg,0.65625
107,02a_6.jpg,02b_9.jpg,0.546875
