,image1,image2,dist
0,01a_1.jpg,01b_1.jpg,0.78125
1,01a_1.jpg,01b_2.jpg,0.71875
2,01a_1.jpg,01b_3.jpg,0.609375
3,01a_1.jpg,01b_4.jpg,0.578125
4,01a_1.jpg,01b_5.jpg,0.65625
5,01a_1.jpg,01b_6.jpg,0.6875
6,01a_1.jpg,01b_7.jpg,0.46875
7,01a_1.jpg,01b_8.jpg,0.453125
8,01a_2.jpg,01b_1.jpg,0.59375
9,01a_2.jpg,01b_2.jpg,1.0
10,01a_2.jpg,01b_3.jpg,0.453125
11,01a_2.jpg,01b_4.jpg,0.421875
12,01a_2.jpg,01b_5.jpg,0.78125
13,01a_2.jpg,01b_6.jpg,0.59375
14,01a_2.jpg,01b_7.jpg,0.34375
15,01a_2.jpg,01b_8.jpg,0.296875
16,01a_3.jpg,01b_1.jpg,0.65625
17,01a_3.jpg,01b_2.jpg,0.53125
18,01a_3.jpg,01b_3.jpg,0.765625
19,01a_3.jpg,01b_4.jpg,0.828125
20,01a_3.jpg,01b_5.jpg,0.53125
21,01a_3.jpg,01b_6.jpg,0.75
22,01a_3.jpg,01b_7.jpg,0.59375
23,01a_3.jpg,01b_8.jpg,0.734375
24,01a_4.jpg,01b_1.jpg,0.546875
25,01a_4.jpg,01b_2.jpg,0.859375
26,01a_4.jpg,01b_3.jpg,0.5
27,01a_4.jpg,01b_4.jpg,0.4375
28,01a_4.jpg,01b_5.jpg,0.828125
29,01a_4.jpg,01b_6.jpg,0.609375
30,01a_4.jpg,01b_7.jpg,0.390625
31,01a_4.jpg,01b_8.jpg,0.3125
32,01a_5.jpg,01b_1.jpg,0.65625
33,01a_5.jpg,01b_2.jpg,0.65625
34,01a_5.jpg,01b_3.jpg,0.484375
35,01a_5.jpg,01b_4.jpg,0.515625
36,01a_5.jpg,01b_5.jpg,0.625
37,01a_5.jpg,01b_6.jpg,0.59375
38,01a_5.jpg,01b_7.jpg,0.375
39,01a_5.jpg,01b_8.jpg,0.453125
40,01a_6.jpg,01b_1.jpg,0.5625
41,01a_6.jpg,01b_2.jpg,0.78125
42,01a_6.jpg,01b_3.jpg,0.671875
43,01a_6.jpg,01b_4.jpg,0.546875
44,01a_6.jpg,01b_5.jpg,0.875
45,01a_6.jpg,01b_6.jpg,0.78125
46,01a_6.jpg,01b_7.jpg,0.53125
47,01a_6.jpg,01b_8.jpg,0.453125
48,02a_1.jpg,02b_1.jpg,0.65625
49,02a_1.jpg,02b_10.jpg,0.296875
50,02a_1.jpg,02b_2.jpg,0.625
51,02a_1.jpg,02b_3.jpg,0.96875
52,02a_1.jpg,02b_4.jpg,0.84375
53,02a_1.jpg,02b_5.jpg,0.5625
54,02a_1.jpg,02b_6.jpg,0.5625
55,02a_1.jpg,02b_7.jpg,0.59375
56,02a_1.jpg,02b_8.jpg,0.59375
57,02a_1.jpg,02b_9.jpg,0.296875
58,02a_2.jpg,02b_1.jpg,0.421875
59,02a_2.jpg,02b_10.jpg,0.65625
60,02a_2.jpg,02b_2.jpg,0.390625
61,02a_2.jpg,02b_3.jpg,0.484375
62,02a_2.jpg,02b_4.jpg,0.453125
63,02a_2.jpg,02b_5.jpg,0.515625
64,02a_2.jpg,02b_6.jpg,0.421875
65,02a_2.jpg,02b_7.jpg,0.484375
66,02a_2.jpg,02b_8.jpg,0.421875
67,02a_2.jpg,02b_9.jpg,0.65625
68,02a_3.jpg,02b_1.jpg,0.453125
69,02a_3.jpg,02b_10.jpg,0.65625
70,02a_3.jpg,02b_2.jpg,0.453125
71,02a_3.jpg,02b_3.jpg,0.515625
72,02a_3.jpg,02b_4.jpg,0.515625
73,02a_3.jpg,02b_5.jpg,0.546875
74,02a_3.jpg,02b_6.jpg,0.359375
75,02a_3.jpg,02b_7.jpg,0.453125
76,02a_3.jpg,02b_8.jpg,0.453125
77,02a_3.jpg,02b_9.jpg,0.65625
78,02a_4.jpg,02b_1.jpg,0.59375
79,02a_4.jpg,02b_10.jpg,0.515625
80,02a_4.jpg,02b_2.jpg,0.8125
81,02a_4.jpg,02b_3.jpg,0.625
82,02a_4.jpg,02b_4.jpg,0.65625
83,02a_4.jpg,02b_5.jpg,0.4375
84,02a_4.jpg,02b_6.jpg,0.40625
85,02a_4.jpg,02b_7.jpg,0.4375
86,02a_4.jpg,02b_8.jpg,0.8125
87,02a_4.jpg,02b_9.jpg,0.328125
88,02a_5.jpg,02b_1.jpg,0.671875
89,02a_5.jpg,02b_10.jpg,0.46875
90,02a_5.jpg,02b_2.jpg,0.578125
91,02a_5.jpg,02b_3.jpg,0.515625
92,02a_5.jpg,02b_4.jpg,0.640625
93,02a_5.jpg,02b_5.jpg,0.390625
94,02a_5.jpg,02b_6.jpg,0.453125
95,02a_5.jpg,02b_7.jpg,0.546875
96,02a_5.jpg,02b_8.jpg,0.703125
97,02a_5.jpg,02b_9.jpg,0.34375
98,02a_6.jpg,02b_1.jpg,0.78125
99,02a_6.jpg,02b_10.jpg,0.296875
100,02a_6.jpg,02b_2.jpg,0.5625
101,02a_6.jpg,02b_3.jpg,0.625
102,02a_6.jpg,02b_4.jpg,0.65625
103,02a_6.jpg,02b_5.jpg,0.5625
104,02a_6.jpg,02b_6.jpg,0.6875
105,02a_6.jpg,02b_7.jpg,0.84375
106,02a_6.jpg,02b_8.jpg,0.59375
107,02a_6.jpg,02b_9.jpg,0.296875
108,02a_7.jpg,02b_1.jpg,0.78125
109,02a_7.jpg,02b_10.jpg,0.265625
110,02a_7.jpg,02b_2.jpg,0.65625
111,02a_7.jpg,02b_3.jpg,0.6875
112,02a_7.jpg,02b_4.jpg,0.71875
113,02a_7.jpg,02b_5.jpg,0.53125
114,02a_7.jpg,02b_6.jpg,0.53125
115,02a_7.jpg,02b_7.jpg,0.59375
116,02a_7.jpg,02b_8.jpg,0.75
117,02a_7.jpg,02b_9.jpg,0.265625
118,02a_8.jpg,02b_1.jpg,0.5
119,02a_8.jpg,02b_10.jpg,0.609375
120,02a_8.jpg,02b_2.jpg,0.65625
121,02a_8.jpg,02b_3.jpg,0.5625
122,02a_8.jpg,02b_4.jpg,0.625
123,02a_8.jpg,02b_5.jpg,0.28125
124,02a_8.jpg,02b_6.jpg,0.28125
125,02a_8.jpg,02b_7.jpg,0.34375
126,02a_8.jpg,02b_8.jpg,0.71875
127,02a_8.jpg,02b_9.jpg,0.484375
128,03a_1.jpg,03b_1.jpg,0.84375
129,03a_1.jpg,03b_2.jpg,0.53125
130,03a_1.jpg,03b_3.jpg,0.71875
131,03a_1.jpg,03b_4.jpg,0.75
132,03a_1.jpg,03b_5.jpg,0.375
