,image1,image2,dist
0,01a_1.jpg,01b_1.jpg,0.5
1,01a_1.jpg,01b_2.jpg,0.671875
2,01a_1.jpg,01b_3.jpg,0.6875
3,01a_1.jpg,01b_4.jpg,0.59375
4,01a_1.jpg,01b_5.jpg,0.703125
5,01a_1.jpg,01b_6.jpg,0.71875
6,01a_1.jpg,01b_7.jpg,0.578125
7,01a_1.jpg,01b_8.jpg,0.625
8,01a_2.jpg,01b_1.jpg,0.421875
9,01a_2.jpg,01b_2.jpg,1.0
10,01a_2.jpg,01b_3.jpg,0.671875
11,01a_2.jpg,01b_4.jpg,0.390625
12,01a_2.jpg,01b_5.jpg,0.8125
13,01a_2.jpg,01b_6.jpg,0.671875
14,01a_2.jpg,01b_7.jpg,0.6875
15,01a_2.jpg,01b_8.jpg,0.515625
16,01a_3.jpg,01b_1.jpg,0.53125
17,01a_3.jpg,01b_2.jpg,0.640625
18,01a_3.jpg,01b_3.jpg,0.59375
19,01a_3.jpg,01b_4.jpg,0.71875
20,01a_3.jpg,01b_5.jpg,0.578125
21,01a_3.jpg,01b_6.jpg,0.6875
22,01a_3.jpg,01b_7.jpg,0.484375
23,01a_3.jpg,01b_8.jpg,0.71875
24,01a_4.jpg,01b_1.jpg,0.453125
25,01a_4.jpg,01b_2.jpg,0.84375
26,01a_4.jpg,01b_3.jpg,0.796875
27,01a_4.jpg,01b_4.jpg,0.453125
28,01a_4.jpg,01b_5.jpg,0.9375
29,01a_4.jpg,01b_6.jpg,0.765625
30,01a_4.jpg,01b_7.jpg,0.75
31,01a_4.jpg,01b_8.jpg,0.453125
32,01a_5.jpg,01b_1.jpg,0.59375
33,01a_5.jpg,01b_2.jpg,0.640625
34,01a_5.jpg,01b_3.jpg,0.625
35,01a_5.jpg,01b_4.jpg,0.59375
36,01a_5.jpg,01b_5.jpg,0.671875
37,01a_5.jpg,01b_6.jpg,0.59375
38,01a_5.jpg,01b_7.jpg,0.609375
39,01a_5.jpg,01b_8.jpg,0.71875
40,01a_6.jpg,01b_1.jpg,0.40625
41,01a_6.jpg,01b_2.jpg,0.671875
42,01a_6.jpg,01b_3.jpg,0.78125
43,01a_6.jpg,01b_4.jpg,0.53125
44,01a_6.jpg,01b_5.jpg,0.734375
45,01a_6.jpg,01b_6.jpg,0.84375
46,01a_6.jpg,01b_7.jpg,0.703125
47,01a_6.jpg,01b_8.jpg,0.65625
48,02a_1.jpg,02b_1.jpg,0.65625
49,02a_1.jpg,02b_10.jpg,0.296875
50,02a_1.jpg,02b_2.jpg,0.625
51,02a_1.jpg,02b_3.jpg,0.96875
52,02a_1.jpg,02b_4.jpg,0.75
53,02a_1.jpg,02b_5.jpg,0.5625
54,02a_1.jpg,02b_6.jpg,0.5625
55,02a_1.jpg,02b_7.jpg,0.5625
56,02a_1.jpg,02b_8.jpg,0.59375
57,02a_1.jpg,02b_9.jpg,0.296875
58,02a_2.jpg,02b_1.jpg,0.65625
59,02a_2.jpg,02b_10.jpg,0.359375
60,02a_2.jpg,02b_2.jpg,0.59375
61,02a_2.jpg,02b_3.jpg,0.5625
62,02a_2.jpg,02b_4.jpg,0.5
63,02a_2.jpg,02b_5.jpg,0.59375
64,02a_2.jpg,02b_6.jpg,0.59375
65,02a_2.jpg,02b_7.jpg,0.6875
66,02a_2.jpg,02b_8.jpg,0.46875
67,02a_2.jpg,02b_9.jpg,0.359375
68,02a_3.jpg,02b_1.jpg,0.5625
69,02a_3.jpg,02b_10.jpg,0.359375
70,02a_3.jpg,02b_2.jpg,0.625
