,image1,image2,dist
0,01a_1.jpg,01b_1.jpg,0.8125
1,01a_2.jpg,01b_2.jpg,1.0
2,01a_3.jpg,01b_4.jpg,1.0
3,01a_4.jpg,01b_5.jpg,1.0
4,01a_5.jpg,01b_8.jpg,0.71875
5,01a_6.jpg,01b_6.jpg,1.0
6,02a_1.jpg,02b_3.jpg,0.96875
7,02a_2.jpg,02b_1.jpg,0.71875
8,02a_3.jpg,02b_3.jpg,0.75
9,02a_4.jpg,02b_5.jpg,0.875
10,02a_5.jpg,02b_1.jpg,0.8125
11,02a_6.jpg,02b_7.jpg,0.84375
12,02a_7.jpg,02b_4.jpg,0.9375
13,02a_8.jpg,02b_6.jpg,0.75
14,03a_1.jpg,03b_1.jpg,0.75
15,03a_2.jpg,03b_3.jpg,0.96875
16,03a_3.jpg,03b_2.jpg,0.96875
17,03a_4.jpg,03b_4.jpg,0.96875
18,03a_5.jpg,03b_5.jpg,0.9375
19,03a_6.jpg,03b_6.jpg,0.9375
20,04a_01.jpg,04b_1.jpg,0.96875
21,04a_02.jpg,04b_3.jpg,1.0
22,05b_1.jpg,05a_1.jpg,0.71875
23,06a_1.jpg,06b_2.jpg,0.96875
24,06a_2.jpg,06b_3.jpg,1.0
25,06a_3.jpg,06b_1.jpg,1.0
26,06a_4.jpg,06b_4.jpg,0.890625
27,06a_5.jpg,06b_5.jpg,0.984375
28,06a_6.jpg,06b_6.jpg,0.96875
29,06a_7.jpg,06b_7.jpg,1.0
30,06a_8.jpg,06b_8.jpg,1.0
31,06a_9.jpg,06b_9.jpg,0.9375
32,07a_1.jpg,07b_2.jpg,0.90625
33,07a_2.jpg,07b_4.jpg,0.84375
34,07a_3.jpg,07b_6.jpg,0.9375
35,07a_4.jpg,07b_1.jpg,1.0
36,07a_5.jpg,07b_5.jpg,1.0
37,07a_6.jpg,07b_8.jpg,1.0
38,07a_7.jpg,07b_7.jpg,1.0
39,08a_1.jpg,08b_3.jpg,0.75
40,08a_2.jpg,08b_6.jpg,0.9375
41,08a_3.jpg,08b_5.jpg,0.75
42,08a_4.jpg,08b_13.jpg,0.515625
43,08a_5.jpg,08b_14.jpg,1.0
44,08a_6.jpg,08b_7.jpg,0.84375
45,08a_7.jpg,08b_11.jpg,0.84375
46,09a_1.jpg,09b_1.jpg,1.0
47,09a_2.jpg,09b_4.jpg,1.0
48,09a_3.jpg,09b_2.jpg,0.9375
49,09a_4.jpg,09b_2.jpg,0.875
50,09a_5.jpg,09b_3.jpg,1.0
51,09a_6.jpg,09b_5.jpg,1.0
52,09a_7.jpg,09b_7.jpg,1.0
53,09a_8.jpg,09b_1.jpg,0.75
54,09a_9.jpg,09b_6.jpg,0.90625
