,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
1188,0.375,0.199526405945316,0.0,0.0,0.0625,1,0,0.458142148667444
791,0.7,0.5696334689109036,0.0,0.0,0.125,0,1,0.6230573870573871
233,0.2222222222222222,0.2163965010013703,0.0,0.0,0.125,1,0,0.3108290767168353
607,0.5555555555555556,0.5159449533074851,0.0,0.0,0.0,0,1,0.5391121815779351
1214,0.8,0.7465068362465042,0.0,0.0,0.0,0,1,0.6230573870573871
1735,1.0,0.7324766478692303,0.0,0.0,0.25,0,1,0.5719058719058719
1085,0.2727272727272727,0.2545119867427383,0.0,1.0,0.0,1,0,0.3358408001400705
960,0.4285714285714285,0.3902710728291465,0.0,0.0,0.0,1,0,0.342097732048738
1165,0.5,0.4285186716703087,0.0,0.0,0.3125,1,0,0.34394668641243986
1599,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.29820089403425293
1309,1.0,0.9090924654269196,0.0,0.0,0.0,0,1,0.9721835296104006
924,0.4,0.329291512549579,0.0,0.0,0.25,1,0,0.2845747801075215
874,0.4285714285714285,0.2462696856984602,0.0,0.0,0.0625,1,0,0.2845747801075215
999,0.5714285714285714,0.3821053592894612,0.0,0.0,0.375,1,0,0.34394668641243986
1168,0.5714285714285714,0.4529430477856778,0.0,0.0,0.1875,1,0,0.4746631171288705
1005,0.1666666666666666,0.0847397761251631,0.0,0.0,0.8125,1,0,0.40540313784713483
1172,1.0,0.2871340831857171,0.0,0.0,0.0625,1,0,0.44298911210675923
1144,0.3333333333333333,0.3458525063817018,0.0,0.0,0.6875,1,0,0.458142148667444
1206,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9675963736470979
235,0.0,0.0,0.0,0.0,0.0,1,0,0.08390223618689314
624,0.8,0.5990674124551185,0.0,0.0,0.75,0,1,0.7181428571428571
1090,0.5,0.3311886838339098,0.0,0.0,0.1875,1,0,0.24857926016266063
257,0.0,0.0,0.0,0.0,0.0,1,0,0.08390223618689314
500,0.6363636363636364,0.4597554013886346,0.0,0.0,0.875,0,1,0.6203087627745162
9,0.8,0.5404253926141439,0.0,0.0,0.3125,0,1,0.6230573870573871
654,0.8888888888888888,0.8017554317039426,0.0,1.0,0.0,0,1,0.5123888457221791
1778,0.7142857142857143,0.5649406075603338,0.0,0.0,0.0,0,1,0.6230573870573871
1211,0.6666666666666666,0.5538345470522216,0.0,0.0,0.0,0,1,0.6230573870573871
294,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.2107347858540979
953,0.3333333333333333,0.2539300032678581,0.0,0.0,0.125,1,0,0.458142148667444
1728,1.0,1.0,0.0,0.0,0.0,0,1,0.9675963736470979
87,0.6666666666666666,0.5586556769437505,0.0,0.0,0.0625,0,1,0.6230573870573871
938,0.0769230769230769,0.0319056008614224,0.0,0.0,0.0625,1,0,0.1262905442952824
758,0.7777777777777778,0.6589805717268078,0.0,0.0,0.125,0,1,0.6230573870573871
