,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
1379,0.8571428571428571,0.6128196842180642,0.0,0.0,0.0,0,1,0.8304569902717592
1721,0.75,0.6607277279172508,0.0,0.0,0.0,0,1,0.8510936390703637
88,0.6666666666666666,0.5586556769437505,0.0,0.0,0.5,0,1,0.8026353246535054
1273,0.0,0.0,0.0,0.0,0.0,1,0,0.1628947078317353
534,0.6666666666666666,0.5641119448490347,0.0,0.0,0.25,0,1,0.7349583467556323
917,0.3333333333333333,0.1455392466980153,0.0,0.0,0.0625,1,0,0.11443738949110695
1247,0.75,0.6120639639763392,0.0,0.0,0.0,0,1,0.7998007544408132
184,0.125,0.1744182565168963,0.0,0.0,0.0,1,0,0.17832358503586862
353,0.0,0.0,0.0,0.0,0.0625,1,0,0.16281632313822064
1171,0.2857142857142857,0.385641551207,0.0,0.0,0.5,1,0,0.4677275448525476
324,0.064516129032258,0.2032406433607844,0.0,0.0,0.125,1,0,0.21943580967907464
205,0.5454545454545454,0.3781228399646978,0.0,0.0,0.25,1,0,0.26040084019559956
1310,0.75,0.6607277279172508,0.0,0.0,0.0,0,1,0.8510936390703637
1207,0.75,0.6149457233510158,0.0,0.0,0.0,0,1,0.8032838165864719
339,0.1111111111111111,0.2704625432818384,0.0,0.0,0.125,1,0,0.2699213063126123
252,0.4444444444444444,0.4385732317050996,0.0,0.0,0.125,1,0,0.4057129976228135
904,0.3333333333333333,0.1458991742180307,0.0,0.0,0.0,1,0,0.12459558240057979
1034,0.3333333333333333,0.3710495083175786,0.0,0.0,0.0625,1,0,0.3011307275480427
1246,1.0,0.7194559803796376,0.0,0.0,0.0,0,1,0.89880670183045
1773,0.8,0.6638287518453473,0.0,1.0,0.0,0,1,0.6092582084186454
87,0.6666666666666666,0.5586556769437505,0.0,0.0,0.0625,0,1,0.6965419460138854
1729,1.0,1.0,0.0,0.0,0.0,0,1,0.8869088799381941
1191,0.2222222222222222,0.0929515506745328,0.0,0.0,0.125,1,0,0.1246932184010721
512,0.75,0.501435599512523,0.0,0.0,0.125,0,1,0.6153539875709582
298,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.12461834324886953
244,0.3333333333333333,0.2053634224556723,0.0,0.0,0.0,1,0,0.13934323259943068
1761,0.6666666666666666,0.681907800251979,0.0,0.0,0.0,0,1,0.8692922302353484
1123,0.2857142857142857,0.1972062574904275,0.0,0.0,0.0,1,0,0.1463282695362041
662,0.7,0.4602922867942868,0.0,0.0,0.0,0,1,0.5079208351933746
1213,1.0,0.6546900874696129,0.0,0.0,0.0,0,1,0.8857742935891357
1009,0.2222222222222222,0.1627332951150621,0.0,0.0,0.4375,1,0,0.13672643652828342
337,0.5,0.4694603019838782,0.0,0.0,0.125,1,0,0.47107745476566437
471,0.7142857142857143,0.6323626796485826,0.0,0.0,0.125,0,1,0.8309026402282154
187,0.125,0.1744182565168963,0.0,0.0,0.0,1,0,0.17832358503586862
1263,0.8,0.8364505476656992,0.0,0.0,0.0,0,1,0.9306783370119269
1104,0.1666666666666666,0.1761058955371612,0.0,0.0,0.5,1,0,0.17338064397354713
1081,0.6666666666666666,0.2772429001298099,0.0,0.0,0.0625,1,0,0.19082015959635154
1066,0.6666666666666666,0.3869927448226222,0.0,0.0,0.0625,1,0,0.32916567493996995
1235,0.6,0.4793263860603955,0.0,0.0,0.0,0,1,0.5
1115,0.4285714285714285,0.2799396732390524,0.0,0.0,0.0625,1,0,0.1549886710702321
905,0.25,0.1458991742180307,0.0,0.0,0.0,1,0,0.13940738418553633
1524,0.4285714285714285,0.4514831261404928,0.0,0.0,0.0,1,0,0.43664275553501813
293,0.5,0.1825311891659405,0.0,0.0,0.0,1,0,0.1216634131301578
399,0.6363636363636364,0.6634452692974764,0.0,1.0,0.0,0,1,0.5791172185925403
1089,0.5,0.4272806202149183,0.0,0.0,0.1875,1,0,0.3682033600091465
1738,0.6666666666666666,0.6017701867659937,0.0,0.0,0.375,0,1,0.8342478594468467
1114,0.1428571428571428,0.1556961419222854,0.0,0.0,0.125,1,0,0.16201193512816564
952,0.3333333333333333,0.2539300032678581,0.0,0.0,0.125,1,0,0.15172398993937974
1227,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.8869088799381903
1782,0.8461538461538461,0.6829936516023928,0.0,0.0,0.0,0,1,0.8756274267066005
1064,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3060460545972357
1136,0.2857142857142857,0.2911113612033918,0.0,0.0,0.0625,1,0,0.20626605410948246
926,0.4285714285714285,0.2158267496324676,0.0,0.0,0.125,1,0,0.11036563648002035
242,0.3333333333333333,0.1498005213196571,0.0,0.0,0.0,1,0,0.12511737962648717
536,0.6666666666666666,0.4908493650252986,0.0,0.0,0.25,0,1,0.5572871736590315
183,0.125,0.1349794959109834,0.0,0.0,0.0,1,0,0.16361663565647275
987,0.125,0.2144392237996479,0.0,0.0,0.5625,1,0,0.23950631288853133
424,0.9,0.7210990806449099,0.0,0.0,0.0625,0,1,0.8996400624498556
1082,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3060460545972357
985,0.3333333333333333,0.2144392237996479,0.0,0.0,0.5625,1,0,0.15428966616574452
1045,0.6666666666666666,0.3869927448226222,0.0,0.0,0.0625,1,0,0.32916567493996995
297,0.5,0.1825311891659405,0.0,0.0,0.0,1,0,0.1216634131301578
892,0.6,0.4378450294274422,0.0,0.0,0.0,1,0,0.4059011216543912
894,0.2,0.2181295107566779,0.0,0.0,0.0,1,0,0.1803550435502502
964,0.4285714285714285,0.332089263299251,0.0,0.0,0.5625,1,0,0.2969750727400767
23,0.3,0.559928654302384,0.0,0.0,0.125,0,1,0.793596926098681
1509,0.3333333333333333,0.4349618651108876,0.0,0.0,0.0,1,0,0.43644802693670903
599,0.5714285714285714,0.555325545408962,0.0,0.0,0.4375,0,1,0.7812984880489439
1203,0.4285714285714285,0.4014495035894614,0.0,0.0,0.4375,1,0,0.40238710949542755
920,0.3333333333333333,0.1455392466980153,0.0,0.0,0.0625,1,0,0.11443738949110695
1718,0.6,0.5521658851245338,0.0,0.0,0.3125,0,1,0.7265664629679114
20,0.6363636363636364,0.571100077274705,0.0,0.0,0.0625,0,1,0.7169844690281408
1770,0.7777777777777778,0.6176371099433922,0.0,1.0,0.0,0,1,0.5249780058967894
1190,0.375,0.199526405945316,0.0,0.0,0.0625,1,0,0.12026581072783678
1030,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3060460545972357
868,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.15174775414154199
1109,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0,0.1655965583482018
999,0.5714285714285714,0.3821053592894612,0.0,0.0,0.375,1,0,0.29721522144325674
938,0.0769230769230769,0.0319056008614224,0.0,0.0,0.0625,1,0,0.15572595010212986
961,0.4285714285714285,0.2011777140499545,0.0,0.0,0.0625,1,0,0.11401839189179823
959,0.4285714285714285,0.3902710728291465,0.0,0.0,0.0,1,0,0.30380415729600907
1049,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3060460545972357
1725,0.5,0.4827311560029735,0.0,0.0,0.0,0,1,0.5
1309,1.0,0.9090924654269196,0.0,0.0,0.0,0,1,0.9018516007601656
666,0.6153846153846154,0.5630401966411835,0.0,0.0,0.0,0,1,0.6934089814546182
444,0.8333333333333334,0.7220850695798725,0.0,0.0,0.0,0,1,0.8942126492626422
870,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.15174775414154199
1037,0.3333333333333333,0.2740723196931727,0.0,0.0,0.0625,1,0,0.17243112585655196
294,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.12461834324886953
1239,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.8869088799381903
1700,0.6666666666666666,0.5427300610387755,0.0,0.0,0.0,0,1,0.6627934373824749
977,0.4285714285714285,0.3403057187001382,0.0,0.0,0.6875,1,0,0.3960239696458496
245,0.3,0.1411901193334374,0.0,0.0,0.0,1,0,0.12923579243243907
1086,0.2727272727272727,0.3311886838339098,0.0,0.0,0.1875,1,0,0.27189322982942016
